MRBID,RIVERBASIN,AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,MEAN,CLASS
6211,ELBE,138890.779690468,20.904862112833463,25.232065839990533,23.45292214546876,11.101358580542014,19.676814168338293,32.79226235643466,22.50776101528301,25.39584813086559,14.559618185635594,15.983199708911282,36.095798691467046,24.28093508882709,18.200598640025685,14.033572036468463,,21.72982976436368,SRD
6212,GARONNE (also RIO GARONA),56167.78745144044,8.280192665957076,5.8017582592589285,6.727696294871792,5.488940284712454,8.841410680128151,10.856973762546149,6.945370533642304,6.682574768684676,8.342391008265977,6.5770295577198,10.614467164920766,10.80669399108634,3.9665728132450138,8.211380282566873,,7.724532290543307,SRD
6213,GLOMAA,41363.22040613179,68.00257465402049,60.37950980242502,59.06439047937686,59.54944132252851,50.99110086731315,55.213316665603024,56.583353023005415,54.85974492357622,72.79562453065036,81.23939643207231,51.43737619987614,55.13633470660952,62.89905805961424,65.71873867460164,,60.99071145294806,SD
6214,GOTA,51784.773082003114,37.13612596358524,34.421326252386734,43.23236058015139,36.44370659899354,31.08780010992871,38.858608111200745,26.738294268626817,39.59716506820407,41.102578779661954,45.25717745624458,46.20756635344164,36.05076510935513,40.821363619956934,31.018597324768844,,37.712388256893306,SD
6215,GUADALQUIVIR,57056.98698354126,0.1655576456076594,0.3982524146181102,0.1912255883569542,0.1087746189330116,0.4490633851384769,0.1877735722762802,1.1969825563909908,1.320932294549405,1.5961401420820125,0.9173338300505304,0.8494053954100363,1.568774453247706,0.3181995864141447,0.3528876260990439,,0.6872359363695973,SRD
6216,GUADIANA,66979.39627615294,0.0013991465087413,0.39558471460981,0.0028206132983361,0.0126840629231627,0.2925131260274527,0.0027982930174826,0.1756222637125789,0.8526594738347523,0.6749562049380359,0.9491215676319228,0.4372227853893231,1.0695110281644145,0.0,0.0211739576114601,,0.3491476598333909,SRD
6217,GUDENA,2749.6600888488415,11.820879784087232,12.419163891497636,12.845327945898594,4.345329393247602,15.289631843661882,24.159065645847335,10.921565815819472,13.57781663450008,8.260646314808683,9.183516303381818,23.685371755281142,18.70838025834577,13.444573272391631,5.554808937540906,,13.158291271164984,SRD
6218,IIJOKI,16588.65811819086,66.11123623787576,73.9720329543447,68.5451277930961,68.82445278959092,63.61141062036437,65.76290628264123,63.32679298558431,64.66224551822549,72.96950243715308,79.0924203140111,47.92834611265099,73.0217811831516,68.25060388176014,87.97519255042634,,68.86100369006257,SD
6219,KALIXALVEN,17213.509537432583,72.92904563317778,78.3644924592639,59.16741154023986,58.68376394207075,61.294010605404445,68.20808497835912,78.81105160609866,60.54584345437038,76.31384960710638,81.6482291951579,52.161029487023605,62.978709207346704,68.21267991871076,80.8638102219726,,68.58442941830735,SD
6220,KEMIJOKI,53910.87813507053,71.0180984603356,76.43493542853933,63.89240171319174,63.42543233145062,69.35796456447783,68.24631760303369,69.27146012667785,61.69771388481012,74.02619036838249,76.23622331739459,41.058033709383075,64.64728528079063,67.15757890690239,79.88726205962466,,67.59692126821388,SD
